iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha,bc_mse
31,sac,13.959989814994328,114.75,1.0,0.0,,,,0.0,10.158204078674316,10.343032836914062,0.0,0.0
32,sac,-187.33952778149586,389.5,0.5,0.0,,,,0.0,0.41460978984832764,0.459888219833374,0.0,0.0
33,sac,-3.751459706554205,520.75,0.25,0.0,,,,0.0,0.46203869581222534,0.5341987609863281,0.0,0.0
34,sac,-5.879956921832562,584.25,0.25,0.0,,,,0.0,1.9380608797073364,2.007148265838623,0.0,0.0
35,sac,-567.1875720059296,670.0,0.0,0.0,,,,0.0,1.98606276512146,2.024620294570923,0.0,0.0
36,sac,-15.390369627815804,377.5,0.25,0.0,,,,0.0,0.3326883018016815,0.3695942759513855,0.0,0.0
37,sac,3.387046480100596,564.75,0.5,0.0,,,,0.0,1.9430015087127686,1.9933420419692993,0.0,0.0
38,sac,-14.101082144806915,187.5,0.5,0.0,,,,0.0,1.807554006576538,1.8218741416931152,0.0,0.0
39,sac,-587.1589367644281,507.25,0.0,0.0,,,,0.0,1.913802146911621,2.0136373043060303,0.0,0.0
40,sac,2.5501537852986105,422.25,0.5,0.0,,,,0.0,0.40942299365997314,0.4888228476047516,0.0,0.0
41,sac,-3.860920176920697,270.75,0.5,0.0,,,,0.0,0.7280799150466919,0.8638102412223816,0.0,0.0
42,sac,-316.8385860538234,401.0,0.5,0.0,,,,0.0,0.4111379384994507,0.49098289012908936,0.0,0.0
43,sac,-24.37191407447079,508.75,0.0,0.0,,,,0.0,2.0509233474731445,2.1841158866882324,0.0,0.0
44,sac,-0.5537086406087459,454.0,0.5,0.0,,,,0.0,0.3812803030014038,0.45170068740844727,0.0,0.0
45,sac,5.934532867102318,300.0,0.75,0.0,,,,0.0,0.3854941427707672,0.4425502121448517,0.0,0.0
46,sac,-19.235060770772314,670.0,0.0,0.0,,,,0.0,0.2471829503774643,0.2825782299041748,0.0,0.0
47,sac,15.584731285754236,168.0,1.0,0.0,,,,0.0,0.6382852792739868,0.7856863141059875,0.0,0.0
48,sac,-609.2081142067602,450.75,0.5,0.0,,,,0.0,0.42785125970840454,0.5226807594299316,0.0,0.0
49,sac,-438.19073594027077,343.25,0.5,0.0,,,,0.0,8.751604080200195,8.88045883178711,0.0,0.0
50,sac,17.49733645712571,269.5,1.0,0.0,,,,0.0,1.9841676950454712,2.054543972015381,0.0,0.0
51,sac,-18.011878672373783,406.75,0.25,0.0,,,,0.0,0.7695918083190918,0.8561241626739502,0.0,0.0
52,sac,15.943946250485453,341.0,0.75,0.0,,,,0.0,0.37250271439552307,0.44929826259613037,0.0,0.0
